,Splate,Species,QG number,Fly-affected?,New York Notes,Cplate,CollectionDate,Latitude,Longitude,Altitude,SubstrateClass,SubstrateNotes,OnGround,ForestType,SubstrateTemp,AmbientTemp,Humidity,SampleNotes,PlateNotes,SplateDate,SplatePicker,SplateFounders,SplateMatingType,Sokehs Ridge Experiment,Don't touch - automated for pivot table
828,C-0384B,Csp384B,4628,0,,C-0384,2023-12-07 03:49:54 UTC,6.90656607,158.181718,540.715057,Rotting_nut/pod/seed/fruit,Pwohr,yes,Rainforest,22.7,25.7,99.9,,"One S plate started 12/9, but no notes recorded. Picked four more 12/10, mated adults. Plate is only Caeno, m and f/h, maybe 20-30.",2023-12-10 12:42:14 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
862,C-0394A,C. tropicalis,4629,0,,C-0394,2023-12-06 03:28:20 UTC,6.86788193,158.178405,372.322083,Rotting_nut/pod/seed/fruit,"Canna indica - Iouiou fruits, bitten into",no,Agroforest,21.5,23.8,99.9,,"1 worm, a small Caeno larva? Yes, singled 12/9.",2023-12-09 06:31:35 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
1309,C-0850I,C. briggsae,4630,0,,C-0850,2023-12-09 11:39:15 UTC,6.966595,158.190743,248.510231,Rotting_nut/pod/seed/fruit,SR3E1,yes,Disturbed forest,24.1,24.1,NA,10-50,"About 6 large worms obviously caeno, a bunch of smaller ones, maybe some oscheius, maybe some other caeno sp? One smallish male. Picked the 6 big ones and 4 smallers",2023-12-09 22:18:05 UTC,sophia.tintori@nyu.edu,1 adult herm/female,,Yes,assigned
945,C-0429A,Csp384B,4631,0,,C-0429,2023-12-13 02:17:07 UTC,6.91704602,158.262118,524.907943,Rotting_nut/pod/seed/fruit,Kireken wen?,yes,Rainforest,23.6,26.3,99.9,,"No worms 12/14; 12/15: there is one young adult f/h, mated; two adult males, two L4 males, all 
  Caeno. C-plate tossed, no more Caeno, after f/h picked to plate A.",2023-12-15 06:59:30 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
1262,C-0632A,Csp384B,4632,0,,C-0632,2023-12-08 04:11:02 UTC,6.966595,158.190743,248.510231,Rotting_nut/pod/seed/fruit,SR3R3,yes,Rainforest,24.1,24.1,NA,6,Took two plugged females and one larvae/male pair.,2023-12-09 23:33:27 UTC,sophia.tintori@nyu.edu,1 adult herm/female,,Yes,assigned
238,C-0103A,Csp384B,4633,0,,C-0103,2023-12-11 02:01:39 UTC,6.84571687,158.330693,21.9117432,Rotting_nut/pod/seed/fruit,Starfruit,yes,Rainforest,30.4,30.8,79,,"12/12 afternoon, fewer than twenty worms, plus a fly larva; found a mating pair of young adult Caeno.
 12/14, plate A looks good. C-plate tossed, no more Caeno.",2023-12-12 03:46:47 UTC,mrockman@nyu.edu,1 adult herm/female + 1 L4 or adult male,,,assigned
934,C-0420H,Csp384B,4634,0,,C-0420,2023-12-08 02:30:45 UTC,6.966595,158.190743,248.510231,Rotting_nut/pod/seed/fruit,SR1R4,yes,Rainforest,23.1,23.1,NA,10-50,Lost B,2023-12-11 10:03:05 UTC,sophia.tintori@nyu.edu,1 L4 herm/female + 1 L4 male,,Yes,assigned
575,C-0201D,Csp384B,4635,0,,C-0201,2023-12-07 03:32:57 UTC,6.90729076,158.181495,546.331002,Rotting_flower,Pwuhr flower,yes,Rainforest,22.1,25.9,88.5,,"Plate is all Caeno, m and f/h. Five S plates founded 12/9, but no notes recorded. Plate E is an unmated female, 12/10, so male added. Plates A-D have progeny.",2023-12-10 12:56:45 UTC,mrockman@nyu.edu,Other,,,assigned
77,C-0027A,Csp384B,4636,0,,C-0027,2023-12-08 00:11:34 UTC,6.8559866,158.224913,692.172068,Vegetal_litter/mix,,yes,Cloudforest,22.4,24.2,NA,,"10s of worms, tiny and mostly dead. A few plausible l2s, 12/9.
 
 2 males, 1 females/herm with sperm plug. Embryos laid 12/10
 
 12/14, plate A looks great, C-plate tossed, no more worms.",2023-12-10 01:27:39 UTC,tuc.nguyen@nyu.edu,1 adult herm/female,,,assigned
1228,C-0606A,C. briggsae,4637,0,,C-0606,2023-12-13 01:01:55 UTC,6.92132825,158.263669,625.097837,Rotting_nut/pod/seed/fruit,Kotop,yes,Cloudforest,22.1,29.2,83.5,,"Multiple species. No obvious males. Some caenorhabditis candidates, most likely hermaphrodite 12/14",2023-12-14 13:31:20 UTC,tuc.nguyen@nyu.edu,1 adult herm/female,hermaphroditic,,assigned
439,C-0150H,Csp384B,4638,0,,C-0150,2023-12-09 11:21:45 UTC,6.966595,158.190743,248.510231,Rotting_nut/pod/seed/fruit,SR2D3,yes,Disturbed forest,24.2,24.2,NA,100-500,"BDGIJ unfertilized, added males 12/12 probably related.
 12/13 ABI lost, lots of phage",2023-12-10 02:54:57 UTC,sophia.tintori@nyu.edu,1 adult herm/female,,Yes,assigned
904,C-0414A,Csp384B,4639,0,,C-0414,2023-12-06 04:20:52 UTC,6.86986442,158.18183,458.573669,Vegetal_litter/mix,,yes,Rainforest,22.5,23.8,99.9,,"Just a few worms, including exactly one Caeno male and one female/h",2023-12-09 05:10:41 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
